"time","customPlant.v_psgr","customPlant.v_trolley","customPlant.x_psgr","customPlant.x_trolley","pid.D.x","pid.I.y","der(customPlant.v_psgr)","der(customPlant.v_trolley)","der(customPlant.x_psgr)","der(customPlant.x_trolley)","der(pid.D.x)","der(pid.I.y)","multiSum.u[1]","multiSum.u[2]","multiSum.y","pid.Add.y","pid.D.y","pid.P.y","pid.y","customPlant.F_traction","lookUp.v_ideal","pid.Add.u1","pid.Add.u2","pid.Add.u3","pid.D.u","pid.Gain.u","pid.Gain.y","pid.I.u","pid.P.u","pid.u","product.u1","product.y"
12.6,0.09189059218843638,3.035619081811328,-0.2774038876774527,4.277669063169392,6.971572248595608,0.3273670772814017,-0.05533160704607551,0.957118327500236,0.09189059218843638,3.035619081811328,-0.958178686007914,0.1049569235477872,-3.035619081811328,10,6.964380918188672,7.219834691400711,-0.07191330406936203,6.964380918188672,2378.065890232681,2378.065890232681,10,6.964380918188672,0.3273670772814017,-0.07191330406936203,6.964380918188672,7.219834691400711,2378.065890232681,6.964380918188672,6.964380918188672,6.964380918188672,3.035619081811328,-3.035619081811328
13.2,0.04927592984145234,3.588568186269457,-0.2347228586272034,6.267034924518383,6.418092803565435,0.387809466291051,-0.06828344021351919,0.8867960130958983,0.04927592984145234,3.588568186269457,-0.8875156787891803,0.09662368652870648,-3.588568186269457,10,6.411431813730543,6.73263138167267,-0.06660989834892383,6.411431813730543,2217.591084091664,2217.591084091664,10,6.411431813730543,0.387809466291051,-0.06660989834892383,6.411431813730543,6.73263138167267,2217.591084091664,6.411431813730543,6.411431813730543,6.411431813730543,3.588568186269457,-3.588568186269457
13.8,0.0210483482088831,4.100658357309467,-0.2149816794703909,8.575779732164904,5.905508244700382,0.4434386447593616,-0.02431010028705751,0.8208977835310159,0.0210483482088831,4.100658357309467,-0.8216430446904991,0.08890621536180793,-4.100658357309467,10,5.899341642690533,6.28111426735141,-0.06166602009848531,5.899341642690533,2068.870580878125,2068.870580878125,10,5.899341642690533,0.4434386447593616,-0.06166602009848531,5.899341642690533,6.28111426735141,2068.870580878125,5.899341642690533,5.899341642690533,5.899341642690533,4.100658357309467,-4.100658357309467
14.4,0.01672572781457656,4.574497654464077,-0.2045324939698599,11.18017538976524,5.43120606476576,0.4946122077149708,0.005033731363971787,0.7592635286200734,0.01672572781457656,4.574497654464077,-0.7599681683005453,0.08176520520317226,-4.574497654464077,10,5.425502345535923,5.863077360952524,-0.05703719229837034,5.425502345535923,1931.177773430657,1931.177773430657,10,5.425502345535923,0.4946122077149708,-0.05703719229837034,5.425502345535923,5.863077360952524,1931.177773430657,5.425502345535923,5.425502345535923,5.425502345535923,4.574497654464077,-4.574497654464077
15,0.0217055276918317,5.012591279117481,-0.1930918124590644,14.05802843450921,4.992680323443258,0.5416646224431685,0.008307557648298474,0.7017147096756569,0.0217055276918317,5.012591279117481,-0.7023925934389817,0.07516290133587042,-5.012591279117481,10,4.987408720882519,5.476357317718302,-0.05271602560738664,4.987408720882519,1803.800100229917,1803.800100229917,10,4.987408720882519,0.5416646224431685,-0.05271602560738664,4.987408720882519,5.476357317718302,1803.800100229917,4.987408720882519,4.987408720882519,4.987408720882519,5.012591279117481,-5.012591279117481
15.6,0.02465467722806691,5.417334873839559,-0.1789630310944436,17.18861568245209,4.587533684520055,0.5849081983449631,0.001165085178093241,0.6480648855248032,0.02465467722806691,5.417334873839559,-0.6486906577493574,0.06906320015255973,-5.417334873839559,10,4.582665126160441,5.118887740909257,-0.04868558359614639,4.582665126160441,1686.056932451019,1686.056932451019,10,4.582665126160441,0.5849081983449631,-0.04868558359614639,4.582665126160441,5.118887740909257,1686.056932451019,4.582665126160441,4.582665126160441,4.582665126160441,5.417334873839559,-5.417334873839559
16.2,0.02360705639140855,5.791010176219619,-0.164333353084204,20.55261735936604,4.213483406531035,0.6246340946907062,-0.003849107057781756,0.5981211520779105,0.02360705639140855,5.791010176219619,-0.598728604005819,0.06343171465452056,-5.791010176219619,10,4.208989823780381,4.788688090964547,-0.04493582750654034,4.208989823780381,1577.29592086781,1577.29592086781,10,4.208989823780381,0.6246340946907062,-0.04493582750654034,4.208989823780381,4.788688090964547,1577.29592086781,4.208989823780381,4.208989823780381,4.208989823780381,5.791010176219619,-5.791010176219619
16.8,0.02095817488571369,6.135782645660844,-0.150949024078883,24.13204806191649,3.868362101494289,0.6611133610718749,-0.004403927968412367,0.5516893953815013,0.02095817488571369,6.135782645660844,-0.5522494668176362,0.05823581021712573,-6.135782645660844,10,3.864217354339156,4.483883243859705,-0.04144747155132578,3.864217354339156,1476.899437975902,1476.899437975902,10,3.864217354339156,0.6611133610718749,-0.04144747155132578,3.864217354339156,4.483883243859705,1476.899437975902,3.864217354339156,3.864217354339156,3.864217354339156,6.135782645660844,-6.135782645660844
17.4,0.01869414601263391,6.453700838349309,-0.1390946368688161,27.9101864507042,3.55012002512821,0.6945979969643092,-0.003064626690051084,0.5085746157647232,0.01869414601263391,6.453700838349309,-0.5090949433741982,0.05344461400938982,-6.453700838349309,10,3.546299161650691,4.202688523839815,-0.03820863477518532,3.546299161650691,1384.279648081088,1384.279648081088,10,3.546299161650691,0.6945979969643092,-0.03820863477518532,3.546299161650691,4.202688523839815,1384.279648081088,3.546299161650691,3.546299161650691,3.546299161650691,6.453700838349309,-6.453700838349309
18,0.01720776044554927,6.746697083665659,-0.1283545892771469,31.87150543797003,3.256823357717178,0.7253220038366264,-0.002023233546055985,0.4685844376539999,0.01720776044554927,6.746697083665659,-0.4690664602368212,0.04902900480008554,-6.746697083665659,10,3.253302916334341,3.943420506342593,-0.03520441382837358,3.253302916334341,1298.882065561262,1298.882065561262,10,3.253302916334341,0.7253220038366264,-0.03520441382837358,3.253302916334341,3.943420506342593,1298.882065561262,3.253302916334341,3.253302916334341,3.253302916334341,6.746697083665659,-6.746697083665659
18.6,0.01610790132934118,7.016589337646876,-0.118367150425415,36.0016029015278,2.986652736735849,0.7535024293280886,-0.001738596954985801,0.4315302843345094,0.01610790132934118,7.016589337646876,-0.4319766157569795,0.04496158502508939,-7.016589337646876,10,2.983410662353124,3.704492347853972,-0.03242074382724169,2.983410662353124,1220.184016616367,1220.184016616367,10,2.983410662353124,0.7535024293280886,-0.03242074382724169,2.983410662353124,3.704492347853972,1220.184016616367,2.983410662353124,2.983410662353124,2.983410662353124,7.016589337646876,-7.016589337646876
19.2,0.01505003547102418,7.265083917571554,-0.1090176653385837,40.28713383791481,2.737900466793104,0.7793403897367033,-0.00180288949596203,0.3972287892481892,0.01505003547102418,7.265083917571554,-0.3976417891065636,0.04121663957572742,-7.265083917571554,10,2.734916082428446,3.484412628518569,-0.02984384364657977,2.734916082428446,1147.694258047953,1147.694258047953,10,2.734916082428446,0.7793403897367033,-0.02984384364657977,2.734916082428446,3.484412628518569,1147.694258047953,2.734916082428446,2.734916082428446,2.734916082428446,7.265083917571554,-7.265083917571554
19.8,0.0139513981996438,7.493778940332109,-0.1003163235075186,44.71574439453991,2.5089670999613,0.8030220641898276,-0.001838025451539644,0.3655027958711371,0.0139513981996438,7.493778940332109,-0.3658846320738274,0.03777008398067794,-7.493778940332109,10,2.506221059667891,3.281782720923631,-0.02746040293408747,2.506221059667891,1080.952110590414,1080.952110590414,10,2.506221059667891,0.8030220641898276,-0.02746040293408747,2.506221059667891,3.281782720923631,1080.952110590414,2.506221059667891,2.506221059667891,2.506221059667891,7.493778940332109,-7.493778940332109
20.4,0.01287019950257515,7.704168285056135,-0.09227272375201807,49.27600810637772,2.298357479131552,0.8247196555910904,-0.001749806999645822,0.3361821083011932,0.01287019950257515,7.704168285056135,-0.3365348653970526,0.03459940468716052,-7.704168285056135,10,2.295831714943865,3.095293728658083,-0.02525764187687241,2.295831714943865,1019.526450534958,1019.526450534958,10,2.295831714943865,0.8247196555910904,-0.02525764187687241,2.295831714943865,3.095293728658083,1019.526450534958,2.295831714943865,2.295831714943865,2.295831714943865,7.704168285056135,-7.704168285056135
21,0.01186361312407273,7.897645938503743,-0.08485701793891923,53.95736464367843,2.104676395664846,0.8445923137249755,-0.001603195273737902,0.3091040188200347,0.01186361312407273,7.897645938503743,-0.3094296849417174,0.03168359357348764,-7.897645938503743,10,2.102354061496257,2.923723033535341,-0.0232233416858918,2.102354061496257,963.0145724554131,963.0145724554131,10,2.102354061496257,0.8445923137249755,-0.0232233416858918,2.102354061496257,2.923723033535341,963.0145724554131,2.102354061496257,2.102354061496257,2.102354061496257,7.897645938503743,-7.897645938503743
21.6,0.01094447506481382,8.075510597973556,-0.07801869005893511,58.75006125099566,1.92662398909607,0.8627870178018093,-0.001465129223808803,0.2841136455609317,0.01094447506481382,8.075510597973556,-0.2844141094632098,0.02900307858082384,-8.075510597973556,10,1.924489402026444,2.765930549131985,-0.0213458706962677,1.924489402026444,911.0409552004879,911.0409552004879,10,1.924489402026444,0.8627870178018093,-0.0213458706962677,1.924489402026444,2.765930549131985,911.0409552004879,1.924489402026444,1.924489402026444,1.924489402026444,8.075510597973556,-8.075510597973556
22.2,0.01009941524063386,8.23897042926264,-0.07170826691721849,63.64509706731573,1.762990990541626,0.8794394155830176,-0.001355440716362398,0.2610641133016931,0.01009941524063386,8.23897042926264,-0.2613411628185611,0.0265396520081997,-8.23897042926264,10,1.76102957073736,2.620854788277721,-0.01961419804265674,1.76102957073736,863.2559666053894,863.2559666053894,10,1.76102957073736,0.8794394155830176,-0.01961419804265674,1.76102957073736,2.620854788277721,863.2559666053894,1.76102957073736,1.76102957073736,1.76102957073736,8.23897042926264,-8.23897042926264
22.8,0.009314075235090867,8.389147887367038,-0.06588632790597554,68.63417006958983,1.61265390241758,0.8946746229703111,-0.001260930648168565,0.2398166070965976,0.009314075235090867,8.389147887367038,-0.2400719297534215,0.02427639786199142,-8.389147887367038,10,1.610852112632962,2.487508837757094,-0.01801789784617869,1.610852112632962,819.3345376408939,819.3345376408939,10,1.610852112632962,0.8946746229703111,-0.01801789784617869,1.610852112632962,2.487508837757094,819.3345376408939,1.610852112632962,1.610852112632962,1.610852112632962,8.389147887367038,-8.389147887367038
23.4,0.008583684141713286,8.527084547413569,-0.06051947578974109,73.70962716179834,1.474570167116845,0.9086079761900193,-0.001171616814413432,0.2202403196152619,0.008583684141713286,8.527084547413569,-0.2204755038012481,0.02219761905121002,-8.527084547413569,10,1.472915452586431,2.364976283472308,-0.01654714530414214,1.472915452586431,778.9748202453143,778.9748202453143,10,1.472915452586431,0.9086079761900193,-0.01654714530414214,1.472915452586431,2.364976283472308,778.9748202453143,1.472915452586431,1.472915452586431,1.472915452586431,8.527084547413569,-8.527084547413569
24,0.007906466192521255,8.653745869601842,-0.0555753995160102,78.86441721404776,1.347773401062561,0.9213457395188749,-0.001086993125264445,0.2022123168385745,0.007906466192521255,8.653745869601842,-0.2024288534294456,0.02028876557729152,-8.653745869601842,10,1.346254130398158,2.252407163272999,-0.01519270664403383,1.346254130398158,741.8968542694003,741.8968542694003,10,1.346254130398158,0.9213457395188749,-0.01519270664403383,1.346254130398158,2.252407163272999,741.8968542694003,1.346254130398158,1.346254130398158,1.346254130398158,8.653745869601842,-8.653745869601842
24.6,0.007278740768743282,8.770025870107636,-0.05102243172198642,84.09204669096175,1.231368722302342,0.9329857739877518,-0.001008008519047236,0.185617338405858,0.007278740768743282,8.770025870107636,-0.1858166218618072,0.01853636414109933,-8.770025870107636,10,1.229974129892364,2.149013979780339,-0.01394592409977635,1.229974129892364,707.8412541821409,707.8412541821409,10,1.229974129892364,0.9329857739877518,-0.01394592409977635,1.229974129892364,2.149013979780339,707.8412541821409,1.229974129892364,1.229974129892364,1.229974129892364,8.770025870107636,-8.770025870107636
25.2,0.00669695190610887,8.876751649418456,-0.04683181884800094,89.38653815609986,1.124528220360655,0.9436181627421377,-0.0009319278146902696,0.170347549483313,0.00669695190610887,8.876751649418456,-0.170530885637841,0.01692794989849971,-8.876751649418456,10,1.123248350581544,2.054067815532579,-0.01279869779110321,1.123248350581544,676.567929479159,676.567929479159,10,1.123248350581544,0.9436181627421377,-0.01279869779110321,1.123248350581544,2.054067815532579,676.567929479159,1.123248350581544,1.123248350581544,1.123248350581544,8.876751649418456,-8.876751649418456
25.8,0.006159600091575867,8.974687763423752,-0.04297693509585419,94.74239145134977,1.026486582945123,0.9533257960893384,-0.0008588725995221769,0.1563022559114686,0.006159600091575867,8.974687763423752,-0.156470861019183,0.01545200058570785,-8.974687763423752,10,1.025312236576248,1.966894568976837,-0.01174346368874923,1.025312236576248,647.8548448953851,647.8548448953851,10,1.025312236576248,0.9533257960893384,-0.01174346368874923,1.025312236576248,1.966894568976837,647.8548448953851,1.025312236576248,1.025312236576248,1.025312236576248,8.974687763423752,-8.974687763423752
26.4,0.005664640588423468,9.06454041819039,-0.03943181981864679,100.1545474385482,0.9365368989015566,0.9621849179315247,-0.0007921405875852204,0.1433875932801893,0.005664640588423468,9.06454041819039,-0.1435426015997676,0.01409787330179121,-9.06454041819039,10,0.9354595818096101,1.88687132882167,-0.01077317091946473,0.9354595818096101,621.4968261909456,621.4968261909456,10,0.9354595818096101,0.9621849179315247,-0.01077317091946473,0.9354595818096101,1.88687132882167,621.4968261909456,0.9354595818096101,0.9354595818096101,0.9354595818096101,9.06454041819039,-9.06454041819039
27,0.005207950395760613,9.146961465898819,-0.03617191958632674,105.6183542461835,0.8540266597914906,0.9702656344458805,-0.0007320017787827715,0.1315162006948078,0.005207950395760613,9.146961465898819,-0.1316586670303051,0.01285574428778661,-9.146961465898819,10,0.8530385341011808,1.813422911643963,-0.009881256903098157,0.8530385341011808,597.3044197096834,597.3044197096834,10,0.8530385341011808,0.9702656344458805,-0.009881256903098157,0.8530385341011808,1.813422911643963,597.3044197096834,0.8530385341011808,0.8530385341011808,0.8530385341011808,9.146961465898819,-9.146961465898819
27.6,0.004785841273778565,9.222552211345208,-0.03317532929013756,111.1295357283686,0.7783539508636594,0.9776323894246394,-0.0006754218188714944,0.1206068841042544,0.004785841273778565,9.222552211345208,-0.1207377863997825,0.01171655156068915,-9.222552211345208,10,0.7774477886547917,1.746018555990754,-0.009061622088677446,0.7774477886547917,575.1028034839092,575.1028034839092,10,0.7774477886547917,0.9776323894246394,-0.009061622088677446,0.7774477886547917,1.746018555990754,575.1028034839092,0.7774477886547917,0.7774477886547917,0.7774477886547917,9.222552211345208,-9.222552211345208
28.2,0.004396691857161303,9.291867008684324,-0.03042211805301378,116.6841622559989,0.7089638518214798,0.984344404467877,-0.0006215287451398333,0.1105842772818923,0.004396691857161303,9.291867008684324,-0.110704526514222,0.01067194070862448,-9.291867008684324,10,0.7081329913156758,1.684168790725512,-0.008308605058040541,0.7081329913156758,554.7307557317142,554.7307557317142,10,0.7081329913156758,0.984344404467877,-0.008308605058040541,0.7081329913156758,1.684168790725512,554.7307557317142,0.7081329913156758,0.7081329913156758,0.7081329913156758,9.291867008684324,-9.291867008684324
28.8,0.004038847863393795,9.35541665303149,-0.02789305965501182,122.2786236171855,0.645345042581133,0.9904560873883858,-0.0005721320075762651,0.1013785049555565,0.004038847863393795,9.35541665303149,-0.1014889401462245,0.009714213777603984,-9.35541665303149,10,0.6445833469685098,1.627422478230664,-0.007616956126231811,0.6445833469685098,536.0396809483519,536.0396809483519,10,0.6445833469685098,0.9904560873883858,-0.007616956126231811,0.6445833469685098,1.627422478230664,536.0396809483519,0.6445833469685098,0.6445833469685098,0.6445833469685098,9.35541665303149,-9.35541665303149
29.4,0.00370935942606825,9.413671581698477,-0.02556999533574862,127.9096037789391,0.5870265996878192,0.9960174125665201,-0.0005275159496052437,0.0929248495445968,0.00370935942606825,9.413671581698477,-0.09302625320498469,0.008836281027197657,-9.413671581698477,10,0.5863284183015232,1.575364017005083,-0.006981813862960706,0.5863284183015232,518.892688499064,518.892688499064,10,0.5863284183015232,0.9960174125665201,-0.006981813862960706,0.5863284183015232,1.575364017005083,518.892688499064,0.5863284183015232,0.5863284183015232,0.5863284183015232,9.413671581698477,-9.413671581698477
30,0.003405509822504779,9.467064866526609,-0.02343669984070959,133.574057628331,0.5335750013837955,1.001074271473267,-0.0004857207877909649,0.08516342830515666,0.003405509822504779,9.467064866526609,-0.08525651846269874,0.00803161583448315,-9.467064866526609,10,0.5329351334733907,1.52761072584261,-0.006398679104048233,0.5329351334733907,503.1637310209815,503.1637310209815,10,0.5329351334733907,1.001074271473267,-0.006398679104048233,0.5329351334733907,1.52761072584261,503.1637310209815,0.5329351334733907,0.5329351334733907,0.5329351334733907,9.467064866526609,-9.467064866526609
